Console,Title,Loose Price,CIB Price
NES,Battletoads and Double Dragon The Ultimate Team,$90.00,$371.77
NES,Donkey Kong,$38.94,$69.46
NES,Nintendo NES Power Set Console,$163.36,$270.35
NES,Pac-Man [Tengen],$8.99,$29.99
NES,Pinball,$10.88,$33.94
NES,Burgertime,$13.49,$46.99
NES,Demon Sword,$10.00,$40.50
NES,Nintendo M82,"$3,135.27","$10,973.45"
NES,Sharp Nintendo NES TV,"$1,646.43","$5,516.25"
NES,Nintendo NES Controller,$12.46,$34.95
NES,Donkey Kong Jr Math,$175.83,"$2,897.24"
NES,Journey to Silius,$36.00,$153.56
NES,Power Blade,$79.04,$225.33
NES,Willow,$18.69,$56.82
NES,1943: The Battle of Midway,$16.95,$57.00
NES,Shadowgate,$11.96,$44.94
NES,Nintendo NES Challenge Set Console,$152.50,$363.09
NES,Back to the Future II and III,$24.99,$121.98
NES,The Simpsons Bart vs the World,$12.98,$83.19
NES,Bad Dudes,$10.83,$48.19
NES,Duck Hunt [5 Screw],$10.95,$109.52
NES,Life Force,$15.70,$80.00
NES,Fire 'N Ice,$205.00,$374.99
NES,Stack Up,$175.45,$910.02
NES,NARC,$9.15,$35.59
NES,Gun.Smoke,$19.99,$91.00
NES,Krion Conquest,$109.08,$291.63
NES,Tiny Toon Adventures,$15.42,$75.21
NES,Shadow of the Ninja,$88.03,$379.11
NES,Zen Intergalactic Ninja,$192.33,$427.20
NES,Legendary Wings,$12.48,$50.00
NES,RBI Baseball,$9.06,$24.47
NES,GI Joe The Atlantis Factor,$55.48,$169.46
NES,Track and Field II,$6.65,$25.24
NES,Gotcha [5 Screw],"$1,550.00","$2,850.00"
NES,Indiana Jones and the Temple of Doom,$16.14,$74.63
NES,Legacy of the Wizard,$9.99,$33.99
NES,Toxic Crusaders,$120.00,$399.96
NES,Snake's Revenge,$18.24,$84.78
NES,Milon's Secret Castle,$7.62,$39.84
NES,Teenage Mutant Ninja Turtles II [No Free Pizza Offer],$13.93,$123.79
NES,Gremlins 2,$29.99,$120.31
NES,Galaga: Demons of Death,$15.21,$40.00
NES,Wario's Woods,$35.23,$109.67
NES,Karnov,$11.62,$49.75
NES,The Guardian Legend,$15.39,$57.93
NES,Star Wars,$22.25,$70.48
NES,Lone Ranger,$80.00,$156.35
NES,Solstice,$11.87,$40.38
NES,Maniac Mansion,$20.07,$99.47
NES,Indiana Jones and the Last Crusade [Ubisoft],$175.00,$413.36
NES,TaleSpin,$19.43,$71.34
NES,Adventures of Lolo,$14.85,$52.30
NES,Monster in My Pocket,$74.99,$314.26
NES,Mission Impossible,$7.45,$28.97
NES,Sqoon,$156.23,$774.25
NES,NES Open Tournament Golf,$10.99,$41.86
NES,Ultima Exodus,$11.41,$37.31
NES,Sky Shark,$5.06,$28.95
NES,Commando,$9.99,$55.54
NES,Godzilla,$28.02,$112.54
NES,Top Gun The Second Mission,$5.17,$21.00
NES,RoboCop 3,$89.99,$265.90
NES,Bases Loaded 2 Second Season,$5.40,$24.98
NES,Super Glove Ball,$7.49,$37.30
NES,Chiller,$108.73,$380.48
NES,Tiger-Heli,$7.54,$30.32
NES,Astyanax,$7.64,$39.83
NES,Monopoly,$7.24,$26.51
NES,Gyromite,$9.99,$90.00
NES,Bases Loaded,$5.99,$15.87
NES,Bomberman,$24.45,$87.47
NES,Dash Galaxy in the Alien Asylum,$8.70,$32.27
NES,Super Mario Bros 3 [Challenge Set],$50.00,$129.99
NES,Dragon Spirit,$14.96,$55.99
NES,Ghostbusters II,$13.44,$73.73
NES,Code Name Viper,$10.61,$59.99
NES,Dig Dug II: Trouble in Paradise,$10.59,$36.99
NES,Pro Wrestling,$9.99,$66.69
NES,Wall Street Kid,$14.99,$57.54
NES,BeetleJuice,$35.00,$164.73
NES,Anticipation,$5.50,$18.79
NES,Ikari Warriors,$10.02,$42.40
NES,10-Yard Fight,$9.66,$60.50
NES,Baseball,$9.05,$38.22
NES,Sword Master,$324.01,$799.99
NES,John Elway's Quarterback,$5.72,$17.17
NES,Wrath of the Black Manta,$7.19,$29.99
NES,Clu Clu Land,$49.00,$298.15
NES,Dragon Fighter,$399.99,$697.56
NES,Bible Adventures,$16.20,$54.00
NES,Super Off Road,$11.99,$49.69
NES,Baseball Stars,$15.00,$50.00
NES,Jaws [5 Screw],$850.00,$878.43
NES,Conquest of the Crystal Palace,$32.01,$148.25
NES,Rygar,$14.40,$50.75
NES,Kung Fu Heroes,$11.21,$49.55
NES,Mega Man 9,$276.34,$564.75
NES,Donkey Kong 3,$23.65,$178.75
NES,Super Mario Bros Duck Hunt World Class Track Meet [Red Overalls],,
NES,Adventures in the Magic Kingdom,$11.29,$42.44
NES,Dusty Diamond's All-Star Softball,$72.50,$108.47
NES,Spiderman Return of the Sinister Six,$19.48,$99.63
NES,Destination Earthstar,$6.00,$31.00
NES,Rad Racer II,$10.75,$39.83
NES,Super Dodge Ball,$15.35,$60.72
NES,Gotcha,$8.80,$26.00
NES,M.C. Kids,$24.62,$62.50
NES,Vegas Dream,$7.23,$17.99
NES,Chubby Cherub,$94.17,$529.27
NES,Deadly Towers,$9.34,$30.39
NES,Wheel of Fortune,$7.00,$19.94
NES,Power Pad,$25.00,$159.62
NES,Uninvited,$81.80,$199.97
NES,8 Eyes,$15.14,$44.70
NES,Action 52,$285.30,$564.60
NES,Popeye,$25.00,$192.39
NES,Zelda II The Adventures Of Link [Mattel],$99.95,$152.99
NES,Bomberman II,$169.96,$357.00
NES,Donkey Kong Jr,$26.00,$298.34
NES,Ghost Lion,$122.94,$233.89
NES,Cyberstadium Series Base Wars,$9.96,$34.99
NES,A Boy and His Blob Trouble on Blobolonia,$11.00,$52.84
NES,Black Bass,$12.74,$28.41
NES,Silver Surfer,$27.61,$152.50
NES,Wayne's World,$231.96,$658.75
NES,Othello,$3.94,$17.37
NES,Adventures of Lolo 3,$64.99,$169.74
NES,Nes Action Set [Blue Box],$173.99,$691.41
NES,Bad News Baseball,$16.48,$54.63
NES,Bandai Golf Challenge Pebble Beach,$3.28,$14.45
NES,1942,$14.99,$62.92
NES,Balloon Fight,$29.83,$180.50
NES,Wacky Races,$356.32,$831.62
NES,Tecmo NBA Basketball [N7],$260.00,$592.41
NES,Adventures of Lolo 2,$38.66,$87.55
NES,Dynowarz The Destruction of Spondylus,$8.95,$55.23
NES,Battle of Olympus,$19.30,$49.99
NES,SCAT Special Cybernetic Attack Team,$176.35,$425.00
NES,King's Knight,$10.36,$87.25
NES,To the Earth,$7.35,$25.72
NES,Xexyz,$13.49,$49.07
NES,Adventures of Tom Sawyer,$13.86,$39.50
NES,Castlequest,$8.93,$36.00
NES,Renegade,$10.96,$51.47
NES,Jordan vs Bird One on One,$4.44,$38.13
NES,Kings of the Beach,$7.83,$24.91
NES,Mario's Time Machine,$111.75,$345.58
NES,Nintendo NES Console [Mario Bros Bundle],$252.28,$894.13
NES,Gradius,$19.17,$76.25
NES,Micro Machines,$38.31,$64.99
NES,Track and Field,$8.75,$39.50
NES,California Games,$10.04,$39.35
NES,Stinger,$15.76,$135.00
NES,Cobra Triangle,$8.75,$32.49
NES,The Three Stooges,$12.43,$43.45
NES,Wolverine,$27.35,$127.97
NES,Hoops,$6.40,$20.00
NES,Day Dreamin' Davey,$25.76,$119.99
NES,Metroid [5 Screw],$35.31,$241.50
NES,World Class Track Meet,$8.78,$21.51
NES,NFL Football,$7.99,$33.19
NES,Bugs Bunny Birthday Blowout,$12.05,$42.00
NES,Star Wars The Empire Strikes Back,$30.30,$75.13
NES,Addams Family,$17.27,$59.99
NES,Mad Max,$14.99,$66.47
NES,WWF Wrestlemania Challenge,$10.43,$61.08
NES,Batman Returns,$31.68,$112.83
NES,720,$7.77,$45.00
NES,Destiny of an Emperor,$39.97,$121.93
NES,Super Spike Volleyball,$7.06,$27.71
NES,Gyruss,$9.99,$35.99
NES,Last Action Hero,$135.66,$300.00
NES,Snake Rattle n Roll,$11.42,$42.49
NES,Spot: The Video Game,$11.25,$64.35
NES,Total Recall,$10.99,$33.64
NES,Kabuki Quantum Fighter,$30.99,$84.48
NES,Kid Niki Radical Ninja,$12.50,$132.49
NES,Spy vs. Spy,$12.85,$61.54
NES,NES Max Controller,$18.85,$49.01
NES,Ghostbusters,$16.49,$99.99
NES,Joust,$14.59,$37.35
NES,Abadox,$18.76,$57.78
NES,Dragon Power,$11.00,$48.69
NES,Al Unser Jr. Turbo Racing,$8.27,$27.64
NES,Ice Climber,$24.99,$200.00
NES,Megacom 76,$29.99,
NES,Swords and Serpents,$9.09,$39.99
NES,Wild Gunman,$46.83,$221.66
NES,Wrecking Crew,$24.99,$156.95
NES,Star Voyager,$7.76,$30.00
NES,Heavy Shreddin',$5.52,$44.16
NES,Rainbow Islands,$39.01,$120.94
NES,Solar Jetman,$9.65,$34.53
NES,Werewolf,$24.49,$100.00
NES,Excitebike [5 Screw],$15.15,$110.74
NES,Jurassic Park,$16.50,$82.16
NES,Cybernoid The Fighting Machine,$9.12,$23.12
NES,Die Hard,$199.99,$512.49
NES,Dragon's Lair the Legend,$29.99,$87.50
NES,Rally Bike,$16.06,$65.55
NES,Rush'n Attack,$9.82,$54.36
NES,Attack of the Killer Tomatoes,$70.34,$191.25
NES,Ghoul School,$54.00,$190.30
NES,Championship Bowling,$5.95,$20.82
NES,Bad Street Brawler,$14.81,$57.21
NES,Mario Is Missing,$25.15,$88.62
NES,Flying Dragon,$10.13,$42.67
NES,Bard's Tale,$25.29,$63.84
NES,Fist of the North Star,$27.62,$239.03
NES,Jackie Chan's Action Kung Fu,$96.62,$464.75
NES,North and South,$34.50,$99.99
NES,POW Prisoners of War,$13.15,$51.69
NES,RoboCop 2,$28.93,$69.04
NES,The Magic of Scheherazade,$22.61,$69.13
NES,Smash TV,$15.58,$60.29
NES,Pin-Bot,$5.27,$26.03
NES,Nintendo Campus Challenge 1991 [Reproduction],$172.10,"$1,037.27"
NES,Predator,$18.47,$128.75
NES,Dogbone Controller,$37.50,$142.68
NES,Crash 'n' the Boys: Street Challenge,$53.12,$246.75
NES,Dirty Harry,$14.45,$42.41
NES,Casino Kid II,$130.99,$440.00
NES,Frankenstein the Monster Returns,$129.41,$355.57
NES,Guerrilla War,$16.29,$73.25
NES,Karate Champ,$7.97,$38.47
NES,Kiwi Kraze,$30.00,$99.25
NES,Time Lord,$8.57,$47.48
NES,Bill and Ted's Excellent Video Game,$14.30,$49.93
NES,Indiana Jones and the Last Crusade,$49.99,$181.43
NES,Kickle Cubicle,$24.95,$87.40
NES,Toki,$55.00,$180.00
NES,Deja Vu,$14.29,$52.60
NES,Airwolf,$9.19,$32.95
NES,Terminator 2 Judgment Day,$14.58,$51.50
NES,Barbie,$13.79,$37.85
NES,Thundercade,$10.92,$45.63
NES,Bugs Bunny Crazy Castle,$12.84,$42.00
NES,Nintendo World Cup,$9.72,$29.99
NES,Zapper Light Gun [Gray],$15.23,$110.00
NES,Dr Jekyll and Mr Hyde,$21.44,$79.32
NES,Krusty's Fun House,$17.77,$90.56
NES,Millipede,$9.99,$25.56
NES,Rolling Thunder,$14.11,$32.73
NES,Shinobi,$16.62,$65.93
NES,Superman,$24.99,$106.25
NES,The Simpsons Bartman Meets Radioactive Man,$24.99,$184.61
NES,Air Fortress,$13.28,$33.89
NES,Gilligan's Island,$23.79,$59.99
NES,Tombs and Treasure,$38.18,$129.99
NES,Skate or Die 2,$10.07,$55.19
NES,Tecmo NBA Basketball,$10.12,$26.72
NES,Days Of Thunder,$10.32,$32.75
NES,Shingen the Ruler,$13.10,$31.70
NES,Kid Kool,$19.24,$78.21
NES,Defender II,$9.20,$25.78
NES,Little League Baseball,$14.85,$42.00
NES,Magmax,$6.90,$31.15
NES,Hunt for Red October,$8.94,$36.44
NES,Home Alone 2 Lost In New York,$10.45,$48.00
NES,Hot Slots,"$1,882.57","$4,999.00"
NES,Mystery Quest,$11.66,$54.65
NES,Star Soldier,$9.42,$36.46
NES,Dungeon Magic,$10.80,$44.04
NES,Godzilla 2,$161.84,$425.00
NES,The Mafat Conspiracy,$10.33,$47.28
NES,The Ren and Stimpy Show Buckeroos,$28.22,$177.33
NES,Jeopardy,$4.69,$13.57
NES,Ninja Crusaders,$47.57,$193.09
NES,Trog,$18.19,$74.40
NES,Snoopy's Silly Sports,$9.38,$54.36
NES,Advanced Dungeons & Dragons Pool of Radiance,$58.10,$122.77
NES,Super Pitfall,$12.93,$41.37
NES,Super Spy Hunter,$59.99,$206.65
NES,Where's Waldo,$9.25,$45.91
NES,Immortal,$15.65,$54.61
NES,Conan the Mysteries of Time,$75.00,$226.75
NES,Athletic World [Family Fun Fitness],$17.85,$888.13
NES,Home Alone,$20.25,$51.56
NES,Xenophobe,$8.33,$34.24
NES,Might and Magic,$78.50,$220.00
NES,Nightshade,$29.71,$65.85
NES,Solomon's Key,$14.20,$70.69
