Console,Title,Loose Price,CIB Price
GameBoy,Goal,$14.99,$112.02
GameBoy,Krusty's Fun House,$23.40,$100.00
GameBoy,Madden 96,$10.99,$49.99
GameBoy,Mortal Kombat and Mortal Kombat II,$19.49,$326.87
GameBoy,NBA All-Star Challenge,$6.31,$30.53
GameBoy,PGA European Tour,$9.91,$24.79
GameBoy,Penguin Wars,$12.35,$109.08
GameBoy,Pinball Fantasies,$21.13,$59.99
GameBoy,Pocahontas,$12.52,$79.96
GameBoy,Pokemon Yellow [Not For Resale],$270.48,
GameBoy,Spy vs. Spy,$22.15,$144.93
GameBoy,Super Black Bass,$21.59,$231.75
GameBoy,TaleSpin,$30.93,$226.26
GameBoy,Tetris [Player's Choice],$15.49,$80.00
GameBoy,The Adventures of Rocky and Bullwinkle and Friends,$10.07,$60.25
GameBoy,Winter Olympic Games Lillehammer 94,$9.23,$50.00
GameBoy,Asciiware Portable Carry-All DLX,$28.95,$110.01
GameBoy,Adventure Island,$20.00,$92.25
GameBoy,Arcade Classic: Asteroids and Missile Command,$8.00,$20.84
GameBoy,Sword of Hope,$45.79,$142.86
GameBoy,Game Boy Pocket AC Adapter,$15.99,$24.99
GameBoy,Analogue Pocket Dock,$154.99,
GameBoy,Analogue Pocket [Transparent Purple],,
GameBoy,Chase HQ,$11.00,$55.00
GameBoy,Dig Dug,$30.91,$116.46
GameBoy,Fortified Zone,$15.98,$179.58
GameBoy,Hit the Ice,$76.43,"$1,897.94"
GameBoy,Jeep Jamboree,$12.48,$159.98
GameBoy,Last Action Hero,$19.99,$310.00
GameBoy,Lethal Weapon,$25.00,$153.84
GameBoy,Maui Mallard in Cold Shadow,$40.00,$91.10
GameBoy,Micro Machines,$14.00,$47.40
GameBoy,NHL 96,$13.00,$82.93
GameBoy,Star Wars [Classic Edition],$33.24,$35.01
GameBoy,Super Off Road,$9.22,$25.00
GameBoy,The Flash,$21.38,$86.38
GameBoy,Total Carnage,$32.80,$220.43
GameBoy,All-Star Baseball 99,$11.19,$90.20
GameBoy,World Heroes 2 Jet,$44.78,$349.95
GameBoy,Bases Loaded,$6.68,$16.54
GameBoy,Singer Sewing Machine Operation Software,$122.56,$494.00
GameBoy,Alfred Chicken,$24.48,$225.34
GameBoy,Adventures of Star Saver,$42.66,$407.50
GameBoy,Choplifter  II,$23.48,$76.52
GameBoy,Wordtris,$9.85,$24.94
GameBoy,Game Light [Nuby],,
GameBoy,Battletoads & Double Dragon [Collector's Edition],$129.99,
GameBoy,Bust-a-Move 2 Arcade Edition,$16.99,$58.36
GameBoy,Deadeus,$74.55,$81.66
GameBoy,Double Dribble 5 on 5,$5.00,$26.28
GameBoy,Flipull,$10.75,$35.00
GameBoy,Ken Griffey Jr Presents Major League Baseball,$9.63,$48.10
GameBoy,Mercenary Force,$21.99,$86.96
GameBoy,Monster Truck Wars,$10.47,$39.77
GameBoy,RoboCop 2,$15.87,$109.98
GameBoy,Super Hunchback,$23.82,$243.86
GameBoy,The Lion King,$8.38,$54.94
GameBoy,Torpedo Range,$15.27,$47.15
GameBoy,Turrican,$28.76,$133.85
GameBoy,Analog Pocket Grape,,
GameBoy,Dexterity,$10.31,$54.95
GameBoy,Turn And Burn The F-14 Dogfight Simulator,$8.73,$44.99
GameBoy,Dr. Mario [Player's Choice],$11.98,$54.99
GameBoy,Game Boy Pocket Red [Target Kirby Value Pak],$59.99,"$1,495.00"
GameBoy,Casino FunPak,$5.99,$17.32
GameBoy,Cool Spot,$17.24,$277.23
GameBoy,Dragon's Lair: The Legend,$18.00,$88.49
GameBoy,Hyper Lode Runner,$8.54,$56.06
GameBoy,International Superstar Soccer,$13.44,$549.99
GameBoy,Iron Man X-O Manowar in Heavy Metal,$14.99,$423.33
GameBoy,Prehistorik Man,$42.79,$219.00
GameBoy,Samurai Shodown,$30.00,$120.46
GameBoy,Side Pocket,$10.96,$36.48
GameBoy,Sports Illustrated Championship Football & Baseball,$7.26,$35.28
GameBoy,Star Trek 25th Anniversary,$19.31,$57.21
GameBoy,Super Chase HQ,$14.08,$142.16
GameBoy,Super Mario Land 2 [Not For Resale],,
GameBoy,Tiny Toon Adventures Wacky Sports,$11.95,$75.00
GameBoy,Ultra Golf,$7.96,$21.74
GameBoy,WWF Warzone,$5.50,$42.50
GameBoy,Animaniacs,$9.66,$94.06
GameBoy,Bo Jackson: Two Games in One,$3.69,$24.89
GameBoy,RoboCop,$18.00,$82.50
GameBoy,4 in 1 Funpak Volume II,$7.00,$17.99
GameBoy,Barbie Game Girl,$10.31,$108.10
GameBoy,Analogue Pocket [Transparent Green],$499.98,$721.94
GameBoy,Felix the Cat,$97.48,$637.29
GameBoy,Game Boy Travel Bag,$18.27,$70.76
GameBoy,Gameshark,$31.57,$86.95
GameBoy,Heavyweight Championship Boxing,$9.99,$20.00
GameBoy,Kirby's Dream Land [Player's Choice],$22.51,$80.88
GameBoy,Kirby’s Dream Land 2 [Not for Resale],$205.00,
GameBoy,Mickey's Dangerous Chase [Player's Choice],$10.12,$53.51
GameBoy,Muhammad Ali Heavyweight Boxing,$19.99,$314.00
GameBoy,NBA Jam Tournament Edition,$10.98,$55.00
GameBoy,Nintendo Gameboy System [Wal-Mart Arcade Set],$115.79,$440.00
GameBoy,Quest Arrest [Homebrew],$31.36,$33.65
GameBoy,Robin Hood Prince of Thieves,$9.95,$99.99
GameBoy,StarHawk,$92.95,$104.99
GameBoy,Tom and Jerry Frantic Antics,$9.88,$89.41
GameBoy,Top Rank Tennis,$7.75,$31.30
GameBoy,World Circuit Series,$12.47,$103.97
GameBoy,Wave Race [Player's Choice],$8.00,$69.69
GameBoy,Crystal Quest,$19.99,$82.17
GameBoy,The Illuminator,$20.00,$77.02
GameBoy,Large Nintendo Gameboy Travel Case,,
GameBoy,4 in 1 Fun Pak,$7.06,$24.71
GameBoy,ASCII Game Boy System Showcase,,
GameBoy,Analogue Pocket Transparent Blue,$510.00,$609.00
GameBoy,Avenging Spirit [Limited Run],$50.85,$59.95
GameBoy,Bugs Bunny Crazy Castle 2 [Player's Choice],$9.35,$49.99
GameBoy,Faceball 2000,$23.49,$66.94
GameBoy,Final Fantasy Legend III [Sunsoft],$21.87,$101.75
GameBoy,Foreman for Real,$6.67,$25.05
GameBoy,Judge Dredd,$12.00,$96.00
GameBoy,Kirby's Dream Land 2 [Player's Choice],$37.25,$161.88
GameBoy,Lock n Chase,$11.06,$61.47
GameBoy,Lunar Journey [Homebrew],,
GameBoy,Mouse Trap Hotel,$9.06,$105.01
GameBoy,Mulan,$12.53,$50.00
GameBoy,New Chessmaster,$12.38,$19.90
GameBoy,Out of Gas,$28.49,$235.56
GameBoy,Raging Fighter,$8.18,$63.05
GameBoy,Ring Rage,$16.09,$80.13
GameBoy,Silver Gameboy Pocket [Black Screen Frame],$52.55,$199.99
GameBoy,Spot the Video Game,$12.08,$42.02
GameBoy,Vegas Stakes,$7.21,$18.09
GameBoy,Wario Land II [Not for Resale],$60.70,
GameBoy,Zoop,$8.99,$29.99
GameBoy,Super Breakout,$11.48,$45.41
GameBoy,Boggle Plus,$8.99,$20.43
GameBoy,NBA All-Star Challenge 2,$8.49,$26.91
GameBoy,Berlitz Spanish Translator,$16.04,$48.75
GameBoy,Boxxle,$12.13,$45.97
GameBoy,Addams Family Pugsley's Scavenger Hunt,$31.85,$189.92
GameBoy,Analogue Pocket Hard Case,$77.06,
GameBoy,Analogue Pocket [Indigo],,$662.46
GameBoy,Analogue Pocket [Orange Spice],,
GameBoy,Analogue Pocket [Pink],,
GameBoy,Analogue Pocket [Silver],,
GameBoy,Buster Bros,$40.00,$349.50
GameBoy,Donkey Kong Land 2 [Not for Resale],$125.22,
GameBoy,Dr. Franken II,$16.13,$160.50
GameBoy,Dragonheart Fire & Steel,$14.43,$85.92
GameBoy,Exodus: Journey to the Promised Land,$32.64,$124.10
GameBoy,Game Boy Printer Paper,$22.44,
GameBoy,GameBoy Pocket Gold [Limited Edition],$150.00,$249.95
GameBoy,Gameboy Light [Gold],$112.50,$278.76
GameBoy,Gameboy System [White Play It Loud],$204.40,$776.72
GameBoy,HAL Wrestling,$10.75,$74.25
GameBoy,Hook,$13.06,$14.91
GameBoy,Hunt for Red October,$12.29,$38.34
GameBoy,Indiana Jones Last Crusade,$20.00,$123.06
GameBoy,Jungle Strike,$20.83,$61.50
GameBoy,Klax,$12.26,$81.22
GameBoy,Lamborghini American Challenge,$18.60,$69.49
GameBoy,Loopz,$18.47,$58.00
GameBoy,Marble Madness,$11.62,$41.30
